Date,Sizing Sum,AD Price,AD Returns,AD Vol,AD Pct Change,AD Trend,AD P&L,AD Position,AD Pullback Sign,AD Pullback Thld,BP Price,BP Returns,BP Vol,BP Pct Change,BP Trend,BP P&L,BP Position,BP Pullback Sign,BP Pullback Thld,CD Price,CD Returns,CD Vol,CD Pct Change,CD Trend,CD P&L,CD Position,CD Pullback Sign,CD Pullback Thld,EC Price,EC Returns,EC Vol,EC Pct Change,EC Trend,EC P&L,EC Position,EC Pullback Sign,EC Pullback Thld,JY Price,JY Returns,JY Vol,JY Pct Change,JY Trend,JY P&L,JY Position,JY Pullback Sign,JY Pullback Thld,SF Price,SF Returns,SF Vol,SF Pct Change,SF Trend,SF P&L,SF Position,SF Pullback Sign,SF Pullback Thld,AD Theo Position Size,BP Theo Position Size,CD Theo Position Size,EC Theo Position Size,JY Theo Position Size,SF Theo Position Size,Current Position,Strongest Trend,Take New Position,Pullback,Position Size Held,Transac Cost,Total P&L
20131107,0.011788293627127222,0.89835,-0.007572570466975162,0.0060468384450303595,-0.0662685417068002,-10.959204931506564,0.0,0,True,True,1.6688,0.00037318074387371314,0.004835304481019256,0.00800700613036416,1.655946623794894,0.0,0,False,True,0.95985,-0.0023990820903306235,0.003788638428769049,-0.037509976057462056,-9.900648151755476,0.0,0,True,True,1.4776,-0.006951634373613426,0.004859476834260987,0.0486964691145385,10.02092833763742,0.0,0,False,True,1.1195,0.00818944252590032,0.007222456101431415,-0.18587746625129814,-25.73604652501234,2196.625711871926,0,False,True,1.2486,-0.004467134652201775,0.0055860200700525485,0.026723323890462693,4.783964890088786,0.0,0,False,True,-1.4028805353306304,2.8070180856230538,-2.2390608431795385,1.3965276089004495,-0.9396240653525925,1.2148888616137359,JY,JY,False,False,-1.3414508164103478,0.0,37911.919482936726
20131108,0.011758469245921499,0.89005,-0.008796100042390816,0.006070704681681866,-0.07417397167902895,-12.218346232991081,0.0,0,False,True,1.6601,-0.005409102213379851,0.004847348271429322,0.003129498654315512,0.6456104408179293,0.0,0,False,True,0.95595,-0.004077791718946063,0.003792794526192567,-0.03861930965482749,-10.18228364023607,0.0,0,False,True,1.4704,-0.0053619302949062374,0.004870729072160416,0.04477728983688828,9.193139091398338,0.0,0,True,True,1.1064,-0.012820512820512713,0.0072470734296942625,-0.20157130386477265,-27.814166065828932,150.91321684618472,0,True,True,1.2408,-0.007142857142857169,0.005604189697724979,0.0205142749101908,3.6605247175195674,0.0,0,True,True,-1.4009095822810869,2.8071458070856825,-2.242280276728862,1.3968353786501368,-0.9388074722599373,1.2140214829942944,JY,JY,False,True,-1.3414508164103478,0.0,38062.83269978291
20131111,0.011763352840933494,0.88705,-0.0032075269966855583,0.006072715079117691,-0.07537154989384283,-12.411507688385344,0.0,0,False,True,1.6578,-0.0014377695817965675,0.004838807043802276,0.006477580026413418,1.33867293483218,0.0,0,True,True,0.95685,0.000944881889763792,0.0037933125957907293,-0.0371408549404345,-9.791140066243964,0.0,0,False,True,1.4752,0.00359389038634332,0.004871711599669424,0.05150990877634485,10.573267263981743,0.0,0,True,True,1.1055,-0.0008922375334590294,0.007247058880369771,-0.2017787659811006,-27.842848983559676,737.7979490256844,0,False,True,1.2437,0.0026747832503229334,0.005603044813437198,0.02636070548075104,4.704710806084026,0.0,0,True,True,-1.39986440564288,2.810933391776722,-2.241043275553088,1.3959738807928588,-0.9384196072030688,1.2137654390313828,JY,JY,False,False,-1.3414508164103478,0.0,38800.6306488086
20131112,0.011754182410001524,0.88235,-0.0050412957202617585,0.006074587953863891,-0.08335736948370348,-13.722308429279055,0.0,0,False,True,1.6491,-0.0054463503192687685,0.004849821149507787,0.0027720027720027464,0.5715680406655985,0.0,0,True,True,0.95585,-0.0010488777008600806,0.003793361720017129,-0.03881552621048425,-10.232487454507496,0.0,0,True,True,1.4776,0.001790510295434167,0.004872719820918437,0.053314460957773126,10.941417302282758,0.0,0,False,True,1.1011,-0.004365945624131732,0.0072502664339072305,-0.20514653323802712,-28.295033721605165,-519.812191359027,0,False,True,1.2459,0.002023732867261503,0.0056041871844707035,0.02766723517149907,4.936886342441495,0.0,0,False,True,-1.4005246249640249,2.806737734403968,-2.242762658515411,1.3967739297257844,-0.9387362622823101,1.2144647901085013,JY,JY,False,False,-1.3414508164103478,0.0,38280.81845744957
20131113,0.011730770100867165,0.88495,0.002802932298404535,0.006077257118980927,-0.08174046681394675,-13.450223548819261,0.0,0,False,True,1.6623,0.008308680052873482,0.004877826850960439,0.011088011088011126,2.2731456910627954,0.0,0,True,True,0.95815,0.002414951700965948,0.003795521345033131,-0.03487323379096107,-9.187995698297584,0.0,0,False,True,1.4811,0.0026064938933572077,0.0048747420606087485,0.05673145015343462,11.637836309712377,0.0,0,False,True,1.1042,0.0030894957145705627,0.007254026183495196,-0.20312748055246865,-28.002032997156356,1157.0013291539465,0,False,True,1.2497,0.0034884788396217993,0.005608095525234113,0.030584224978695194,5.453584882974767,0.0,0,False,True,-1.402703450709951,2.7961925807080017,-2.245960108431889,1.398981021052281,-0.9401222786917232,1.2160405604061528,JY,JY,False,False,-1.3414508164103478,0.0,39437.81978660352
20131114,0.011735826019821049,0.88455,-0.0004300150505268404,0.006068849655736489,-0.07716079188797689,-12.7142368430633,0.0,0,True,True,1.6658,0.0021849054248079384,0.004878881485900208,0.01463537723946498,2.999740264599723,0.0,0,False,True,0.95655,-0.0016759191369015761,0.003795476189582504,-0.03483236297932137,-9.177336713355293,0.0,0,True,True,1.4803,-0.0005942211988413681,0.004871328411044811,0.05270588235294112,10.819611798999334,0.0,0,False,True,1.0973,-0.006855439642325016,0.007242901411986799,-0.20092971066762855,-27.741605088686626,285.05829848720475,0,True,True,1.248,-0.0015552099533437333,0.005605697946913476,0.025672487022180168,4.579712868103348,0.0,0,False,True,-1.404041545097277,2.794383777422258,-2.2450192339477235,1.3993582577243247,-0.9411606275354194,1.2160365582729973,JY,JY,False,True,-1.3414508164103478,0.0,39722.87808509072
20131115,0.01173450729621653,0.88905,0.004839750483975113,0.006070699094184177,-0.06831635128578362,-11.25345701143905,0.0,0,False,True,1.6712,0.0033636476890495028,0.0048832615084869625,0.018234588933055667,3.73410043704694,0.0,0,False,True,0.95985,0.0034623858986464902,0.0038010087729480196,-0.03287890938251809,-8.6500482757417,0.0,0,False,True,1.4838,0.002601263470828732,0.004872175997547149,0.05322063082100654,10.923380199689001,0.0,0,True,True,1.0956,-0.0017006802721088784,0.007203504974202685,-0.1919298530486321,-26.643953705310757,-268.2901632820773,0,False,True,1.2495,0.0013743815283123117,0.0056048941009234346,0.024959969859659006,4.453245576137955,0.0,0,True,True,-1.4037715419281653,2.792191116765408,-2.2420034093779186,1.399272051307686,-0.9464142423493588,1.2163476382714622,JY,JY,False,False,-1.3414508164103478,0.0,39454.587921808634
20131118,0.011737125856393709,0.89055,0.0016054800385314628,0.006071706477965247,-0.06722281501600547,-11.071486288074519,0.0,0,True,True,1.6698,-0.0008691333498882964,0.0048821893033738515,0.015365239294710313,3.1472026871412213,0.0,0,False,True,0.96155,0.001777498954412416,0.003802892667771879,-0.03117481956696072,-8.197659595064538,0.0,0,True,True,1.4848,0.000741289844329051,0.0048660473384559986,0.05789473684210517,11.897692894306127,0.0,0,False,True,1.0972,0.0016033670708488284,0.00720503165683224,-0.19043365275296423,-26.430647611712253,217.9857576666575,0,False,True,1.2514,0.0017384939152713082,0.00559845014816465,0.03131504257332084,5.593519946513574,0.0,0,False,True,-1.4032255056042653,2.7921812491902265,-2.240392810616804,1.4007218261262326,-0.9460026046485809,1.2174760038138903,JY,JY,False,False,-1.3414508164103478,0.0,39672.57367947529
20131119,0.011753278973194744,0.89475,0.004488138491130682,0.006058978707810856,-0.07018388370077978,-11.58345112028585,0.0,0,True,True,1.6718,0.0012426991425375927,0.004882110584473038,0.015282057732218092,3.130215399221154,0.0,0,True,True,0.95735,-0.004383676025467051,0.003796182399967106,-0.0405782652043868,-10.689229580943849,0.0,0,True,True,1.488,0.002370370370370438,0.004852496200485452,0.053703848255405494,11.067262298944794,0.0,0,False,True,1.0959,-0.001300650325162438,0.00720491503858299,-0.19017406865137465,-26.395046663697602,-167.681352051275,0,True,True,1.254,0.0023748629886736717,0.005585226417080698,0.026973684210526264,4.829470140733337,0.0,0,False,True,-1.4042406119674924,2.788388774515293,-2.2412684829443514,1.402703040584043,-0.9447177570302248,1.2186813329585944,JY,JY,False,True,-1.3414508164103478,0.0,39504.89232742402
20131120,0.011731107885743596,0.88605,-0.009255319148936214,0.006081858594829215,-0.07526570048309177,-12.37544400441709,0.0,0,True,True,1.6691,-0.0016755616234329928,0.0048831204335403906,0.012756063843156959,2.6122771323721947,0.0,0,False,True,0.95925,0.0019918230422476283,0.003797339691568407,-0.03705183261759703,-9.757313178978094,0.0,0,False,True,1.4768,-0.008276677505172997,0.004881871870849118,0.04512452182059478,9.243282702695378,0.0,0,False,True,1.0969,0.0010018032458424062,0.007202401922903565,-0.18585082918062254,-25.80400693685516,1676.8135205129363,0,False,True,1.246,-0.007289958082741031,0.005604589882534718,0.019934179595674555,3.556759729698397,0.0,0,False,True,-1.4016018199322429,2.7930809214640835,-2.2448199970128004,1.3968976328091165,-0.946833477645934,1.2167661511358232,JY,JY,False,False,-1.3414508164103478,0.0,41181.70584793696
